Number of iterations : 30 
89958 has rank = 0.005267742339034814
107219 has rank = 0.005267742339034814
178815 has rank = 0.005267742339034814
190733 has rank = 0.005267742339034814
518625 has rank = 0.005267742339034814
654863 has rank = 0.005267742339034814
718679 has rank = 0.005267742339034814
727948 has rank = 0.005267742339034814
769429 has rank = 0.005267742339034814
783319 has rank = 0.005267742339034814
888289 has rank = 0.005267742339034814
895278 has rank = 0.005267742339034814
136593 has rank = 0.0052326178603379426
523684 has rank = 0.0052326178603379426
815602 has rank = 0.0052326178603379426
414038 has rank = 0.0052326178603379426
760842 has rank = 0.0052326178603379426
846213 has rank = 0.0052326178603379426
438493 has rank = 0.00516131946728288
91807 has rank = 0.00516131946728288
535748 has rank = 0.00516131946728288
695578 has rank = 0.00516131946728288
309564 has rank = 0.005132080333882296
427436 has rank = 0.005132080333882296
638706 has rank = 0.005132080333882296
856657 has rank = 0.005132080333882296
27469 has rank = 0.005132080333882296
38716 has rank = 0.005132080333882296
538214 has rank = 0.005132080333882296
645018 has rank = 0.005132080333882296
72960 has rank = 0.00509221303517069
75753 has rank = 0.00509221303517069
91681 has rank = 0.00509221303517069
109681 has rank = 0.00509221303517069
139972 has rank = 0.00509221303517069
302178 has rank = 0.00509221303517069
412196 has rank = 0.00509221303517069
412198 has rank = 0.00509221303517069
525525 has rank = 0.00509221303517069
550473 has rank = 0.00509221303517069
609886 has rank = 0.00509221303517069
33210 has rank = 0.00509221303517069
124446 has rank = 0.00509221303517069
268108 has rank = 0.00509221303517069
438091 has rank = 0.00509221303517069
464936 has rank = 0.00509221303517069
600077 has rank = 0.00509221303517069
532018 has rank = 0.005057007150858614
33023 has rank = 0.0049679076776735056
426314 has rank = 0.0049679076776735056
435399 has rank = 0.0049679076776735056
505620 has rank = 0.0049679076776735056
69209 has rank = 0.0049679076776735056
448933 has rank = 0.0049679076776735056
460573 has rank = 0.0049679076776735056
599243 has rank = 0.0049679076776735056
713628 has rank = 0.0049679076776735056
734138 has rank = 0.0049679076776735056
860525 has rank = 0.0049679076776735056
894228 has rank = 0.0049679076776735056
150176 has rank = 0.004942787823215254
189348 has rank = 0.004942787823215254
225530 has rank = 0.004942787823215254
334309 has rank = 0.004942787823215254
425667 has rank = 0.004942787823215254
484795 has rank = 0.004942787823215254
521022 has rank = 0.004942787823215254
522701 has rank = 0.004942787823215254
907505 has rank = 0.004942787823215254
8517 has rank = 0.004942787823215254
14456 has rank = 0.004942787823215254
51573 has rank = 0.004942787823215254
187770 has rank = 0.004942787823215254
202191 has rank = 0.004942787823215254
421091 has rank = 0.004942787823215254
578091 has rank = 0.004942787823215254
610457 has rank = 0.004942787823215254
614906 has rank = 0.004942787823215254
674265 has rank = 0.004942787823215254
777734 has rank = 0.004942787823215254
799858 has rank = 0.004942787823215254
822292 has rank = 0.004942787823215254
867774 has rank = 0.004942787823215254
912757 has rank = 0.004942787823215254
