Number of iterations : 13 
448933 has rank = 0.01608561296166147
460573 has rank = 0.01608561296166147
599243 has rank = 0.01608561296166147
713628 has rank = 0.01608561296166147
734138 has rank = 0.01608561296166147
860525 has rank = 0.01608561296166147
894228 has rank = 0.01608561296166147
150176 has rank = 0.01603763244481519
189348 has rank = 0.01603763244481519
225530 has rank = 0.01603763244481519
334309 has rank = 0.01603763244481519
425667 has rank = 0.01603763244481519
484795 has rank = 0.01603763244481519
521022 has rank = 0.01603763244481519
522701 has rank = 0.01603763244481519
907505 has rank = 0.01603763244481519
8517 has rank = 0.01603763244481519
14456 has rank = 0.01603763244481519
51573 has rank = 0.01603763244481519
187770 has rank = 0.01603763244481519
202191 has rank = 0.01603763244481519
421091 has rank = 0.01603763244481519
578091 has rank = 0.01603763244481519
610457 has rank = 0.01603763244481519
614906 has rank = 0.01603763244481519
674265 has rank = 0.01603763244481519
777734 has rank = 0.01603763244481519
799858 has rank = 0.01603763244481519
822292 has rank = 0.01603763244481519
867774 has rank = 0.01603763244481519
912757 has rank = 0.01603763244481519
